Site_code,lat,long,Reef,Site,Zone
CBHE_BA1D,-23.42807,151.95224,CBHE,BA1,D
CBHE_BA1F,-23.42878,151.95253,CBHE,BA1,F
CBHE_BA1S,-23.42847,151.95242,CBHE,BA1,S
CBHE_BA2D,-23.43398,151.92041,CBHE,BA2,D
CBHE_BA2F,-23.43408,151.92091,CBHE,BA2,F
CBHE_BA2S,-23.43401,151.92088,CBHE,BA2,S
CBHE_FL1F,-23.45601,151.92572,CBHE,FL1,F
CBHE_FL1S,-23.45611,151.92566,CBHE,FL1,S
CBHE_FR1D,-23.47209,151.97797,CBHE,FR1,D
CBHE_FR1F,-23.47164,151.97749,CBHE,FR1,F
CBHE_FR1S,-23.47196,151.97772,CBHE,FR1,S
CBHE_FR2D,-23.47086,151.95108,CBHE,FR2,D
CBHE_FR2F,-23.47036,151.95097,CBHE,FR2,F
CBHE_FR2S,-23.47046,151.95093,CBHE,FR2,S
CBHE_LA1S,-23.45391,151.96863,CBHE,LA1,S
CBLM_BA1F,-23.90081,152.39369,CBLM,BA1,F
CBLM_BA1S,-23.9003,152.39342,CBLM,BA1,S
CBLM_BA2F,-23.89483,152.40421,CBLM,BA2,F
CBLM_BA2S,-23.89441,152.40399,CBLM,BA2,S
CBLM_FL1S,-23.88511,152.41367,CBLM,FL1,S
CBLM_FL2F,-23.91708,152.39223,CBLM,FL2,F
CBLM_FL2S,-23.91752,152.3924,CBLM,FL2,S
CBLM_LA1S,-23.89633,152.41391,CBLM,LA1,S
KEGK_BA1F,-23.19642,150.93726,KEGK,BA1,F
KEGK_BA1S,-23.19657,150.93681,KEGK,BA1,S
KEHW_BA1F,-23.20164,150.96721,KEHW,BA1,F
KEHW_BA1S,-23.20172,150.96664,KEHW,BA1,S
KEMD_BA1F,-23.16196,150.92053,KEMD,BA1,F
KEMD_BA1S,-23.16187,150.9207,KEMD,BA1,S
KEML_BA1D,-23.15038,150.90279,KEML,BA1,D
KEML_BA1F,-23.15072,150.90276,KEML,BA1,F
KEML_BA1S,-23.15056,150.90279,KEML,BA1,S
KENK_BA1F,-23.08429,150.886,KENK,BA1,F
KENK_BA1S,-23.08432,150.88542,KENK,BA1,S
KENK_FL1F,-23.08508,150.89891,KENK,FL1,F
KENK_FL1S,-23.08526,150.89906,KENK,FL1,S
OCCH_BA1F,-18.65321,147.70871,OCCH,BA1,F
OCCH_BA1S,-18.6532,147.70859,OCCH,BA1,S
OCCH_BA2F,-18.65213,147.71848,OCCH,BA2,F
