gene,SNPs,hits,Z,top_candidate_p,Z_pVal
wind_1,9,0,-0.483816694790139,1,0.742272941987798
wind_2,1,1,1,1,1
wind_10,25,0,0.101749878755724,1,0.585439392071284
wind_14,530,5,0.288614814331969,0.611554429107636,0.68056435386948
wind_15,680,8,0.319464184487825,0.371363395411761,1
wind_16,545,2,0.272775209695032,0.972808589994744,0.676270310098065
wind_17,210,2,-0.13029763971168,0.621806421673455,0.765260859269724
wind_4,22,1,3.6115218962858,0.198369410460954,0.00393673200537936
wind_6,238,11,1.90487204104612,3.45762707105422e-05,0.301441375872248
wind_8,62,0,-1.12046377928982,1,0.891109176152789
wind_9,7,0,-0.96190657546608,1,0.853934149455317
wind_13,46,1,-0.448077210861179,0.370176368796768,0.759906228181785
wind_3,1,1,1,1,1
wind_5,7,0,2.10694769469941,1,0.0584821234759694
wind_20,47,0,0.472432801470619,1,0.502143876569204
wind_21,13,0,-0.135081508074301,1,0.643705613970033
wind_25,15,0,-0.072598936991034,1,0.626702166774898
wind_26,1,1,1,1,1
wind_44,2,0,0.403687922333679,1,0.444669743739632
wind_54,32,1,0.522199046018882,0.275019664042147,0.462944269125784
wind_55,99,0,0.346800261756435,1,0.597853565160668
wind_56,196,0,-0.651425772371258,1,0.850020505750894
wind_57,152,0,-1.52590671565166,1,0.940553820361909
wind_58,167,1,-0.178968943993152,0.813328723284297,0.760327928580576
wind_59,81,0,-0.670481955823199,1,0.822910009380643
wind_60,19,0,0.877623894599046,1,0.328220599272983
wind_61,39,0,0.875495141715763,1,0.367342468036828
wind_62,1,1,1,1,1
wind_100,15,0,-1.02708520777464,1,0.868212022571905
wind_103,6,0,2.22878533868009,1,0.0462879710353092
wind_104,33,1,-1.34942587904237,0.282269467401725,0.917959948175504
wind_113,15,0,0.318790665054072,1,0.498883827596567
wind_116,15,1,-0.135834037460397,0.139941645358712,0.64646365775345
wind_117,194,0,0.932509597882544,1,0.515327931865897
wind_118,326,0,-0.219848836070479,1,0.809386698163385
wind_124,1,0,0.879575339665901,1,0.288003210659967
wind_126,3,0,-0.60108463138089,1,0.769084811709995
wind_128,46,2,0.918800314941308,0.0775310452073868,0.366983225262368
wind_129,33,1,3.50565600906397,0.282269467401725,0.00717719427748997
wind_135,11,3,1.54069011332287,0.000155372629155036,0.146509070074553
wind_138,18,0,-0.636952573618308,1,0.787929080250186
wind_140,14,1,3.28663931445296,0.131254187231022,0.00645148355711411
wind_144,1,1,1,1,1
wind_149,2,0,1.44215111003857,1,0.148946849450018
wind_150,218,3,-0.346390533667793,0.372160124776654,0.806783499292436
wind_151,113,0,1.72378055759002,1,0.257351273143545
wind_154,55,0,-0.562573454775284,1,0.790820415021044
wind_155,13,0,1.84906977788288,1,0.0978038146246749
wind_156,26,0,-0.24036604390753,1,0.689789737895704
wind_157,6,0,-0.295823558375388,1,0.68487376654676
wind_165,16,0,-0.955836491366821,1,0.855406321304962
wind_169,4,0,1.77165946622114,1,0.0953536111078315
wind_171,3,0,-0.973828857123875,1,0.855073225157691
wind_172,32,0,1.06481353125752,1,0.300378932864853
wind_175,14,0,-0.353875643618942,1,0.71039901218435
wind_180,3,0,-0.835752020747246,1,0.826118891572823
wind_182,8,0,1.11526815635419,1,0.237741422262959
wind_187,70,2,0.422437070895048,0.155275419470354,0.547205497295778
wind_188,45,0,2.37576969253715,1,0.0718832286346386
wind_189,48,4,2.52692223515575,0.00137009974325039,0.0599239795343002
wind_192,37,0,0.0582692889477698,1,0.614503883292614
wind_195,5,0,0.0719485948489015,1,0.564335717554064
wind_197,10,0,0.635336647587608,1,0.384491650765829
wind_201,45,0,2.09297363522651,1,0.1065653626
wind_202,373,1,-0.0207132442116584,0.976453433689048,0.779772398391798
wind_203,26,4,2.27508101389603,0.000125364037358415,0.0626673959033108
wind_206,17,0,1.03790458296674,1,0.277914310587985
wind_207,58,0,-0.779941275570799,1,0.835482999383594
wind_208,10,0,0.100390585193839,1,0.563083631419061
wind_63,309,0,0.438064482064383,1,0.669941714659113
wind_64,9,0,-0.241132600412467,1,0.671634303490553
wind_67,4,0,-0.256584781368199,1,0.670416701641045
wind_68,3,0,-0.152074891429427,1,0.635787873070628
wind_75,6,0,-0.0329171155598525,1,0.601058268741108
wind_80,4,0,-0.304312085758634,1,0.685179938522837
wind_81,1,0,1.41232764082421,1,0.153045945596093
wind_84,20,0,0.452262377818949,1,0.46405994674673
wind_89,3,0,1.01665317665316,1,0.253248811639552
wind_94,2,0,1.13061299000613,1,0.220526771470452
wind_96,1,0,0.560484932600313,1,0.38928662516798
wind_101,1,1,1,1,1
wind_139,4,0,-0.494519560858712,1,0.740959240789564
wind_69,10,0,-0.389952896355086,1,0.716867514061101
wind_87,10,0,0.438345412592639,1,0.449440422993957
wind_110,1,1,1,1,1
wind_111,1,1,1,1,1
wind_112,3,0,0.237612487819012,1,0.503970015005044
wind_114,4,0,-0.244946014890756,1,0.666774739659078
wind_115,1,0,-1.0260700525853,1,0.864619603798185
wind_130,14,1,1.36746286679671,0.131254187231022,0.188533324851797
wind_131,8,1,1.84088089976161,0.07725530557208,0.0915418837088079
wind_132,17,1,0.297161931686749,0.157056806616073,0.509597242913255
wind_134,3,0,2.2574679626386,1,0.0410864716920412
wind_136,4,0,1.55056560356646,1,0.131831485435725
wind_137,27,0,0.300219533865139,1,0.525292538989002
wind_141,1,0,-0.695877440329393,1,0.792059849262392
wind_142,1,0,0.509002257588889,1,0.40659300489234
wind_145,2,0,0.123674609270848,1,0.541426735708596
wind_153,7,0,2.92299960251649,1,0.011767640564819
wind_158,6,0,1.68209940552322,1,0.112467689054999
wind_159,6,1,1.02453655528476,0.058519850599,0.257831975997754
wind_161,5,0,-0.264464658414245,1,0.674075934800022
wind_163,5,1,0.507989164079011,0.0490099501,0.415699889816577
wind_164,3,0,2.89829825840764,1,0.0109283863126302
wind_168,5,0,2.00747264461305,1,0.0665408329965261
wind_173,1,0,0.977223091816595,1,0.259685339449204
wind_176,1,0,1.16972699659505,1,0.208378690476903
wind_177,1,0,0.560484932600313,1,0.38928662516798
wind_179,2,0,1.14021219219741,1,0.218063059242813
wind_181,1,1,1,1,1
wind_183,1,1,1,1,1
wind_184,5,0,0.889503640031957,1,0.294285963492553
wind_185,2,0,0.771732022906435,1,0.323204546393759
wind_186,3,0,2.09557071461505,1,0.0550109878588247
wind_190,1,1,1,1,1
wind_198,2,0,0.316468120936066,1,0.474725293590665
wind_199,1,1,1,1,1
wind_66,11,0,1.67495843128506,1,0.122062597807034
wind_71,2,0,-0.0508936408542866,1,0.600880600201104
wind_74,1,0,-0.887323877571391,1,0.836558529506315
wind_88,4,0,-0.604008710772752,1,0.770577583861356
wind_90,1,1,1,1,1
wind_93,1,1,1,1,1
wind_97,1,1,1,1,1
wind_106,1,1,1,1,1
wind_109,1,1,1,1,1
wind_123,2,0,-0.517855013167992,1,0.745740359931691
wind_127,25,0,-0.295113887140427,1,0.70426166743595
wind_133,13,5,6.50705253407791,1.20372945191274e-07,1.01179201017487e-07
wind_143,1,1,1,1,1
wind_146,1,1,1,1,1
wind_147,1,1,1,1,1
wind_148,1,1,1,1,1
wind_160,1,1,1,1,1
wind_162,5,0,0.136865800176766,1,0.542272215192009
wind_166,1,1,1,1,1
wind_167,1,0,0.148071152362017,1,0.531161533579173
wind_170,1,1,1,1,1
wind_174,5,0,0.0975437711566023,1,0.555656644602519
wind_178,5,0,0.235909087181454,1,0.50838082689545
wind_193,9,0,1.73998529364259,1,0.108096007660933
wind_200,1,0,0.977223091816595,1,0.259685339449204
wind_65,3,0,-0.611038886442708,1,0.771698324581729
wind_72,1,1,1,1,1
wind_73,1,1,1,1,1
wind_76,1,1,1,1,1
wind_78,1,1,1,1,1
wind_82,1,1,1,1,1
wind_85,1,1,1,1,1
wind_91,1,1,1,1,1
wind_92,1,0,-0.141448563502758,1,0.629478116631402
wind_98,1,1,1,1,1
wind_99,2,0,-0.416058517691175,1,0.716590673435181
wind_120,1,0,-1.30490480264945,1,0.910571559727114
wind_121,1,0,-0.448324158538263,1,0.72503881579371
wind_196,2,0,-0.0604803047738625,1,0.604091672970492
wind_205,2,0,-0.0246433790403992,1,0.592053629706645
wind_70,3,0,-1.03971599524539,1,0.867674965485256
wind_83,2,0,-0.935738834666792,1,0.847092564847928
wind_86,1,0,0.879575339665901,1,0.288003210659967
wind_211,18,0,-0.923151584664003,1,0.8497657609359
wind_213,236,5,2.01158829187175,0.0899117368353737,0.278093119347951
wind_214,119,2,0.906687343978571,0.334099323476296,0.466297710855469
wind_217,6,0,2.13394018636986,1,0.0547227258005438
wind_218,1,1,1,1,1
wind_220,11,0,0.666513270274938,1,0.376599277992859
wind_221,13,0,0.264895996913804,1,0.513256258417986
wind_222,1,1,1,1,1
wind_223,75,1,1.11930872527159,0.52941335841435,0.356569093372149
wind_225,57,1,1.81140047994682,0.436094809547612,0.1690131853643
wind_227,13,1,1.29377021598314,0.122478977001032,0.20358789632299
wind_228,12,0,-0.00787831169046375,1,0.601805929890263
wind_229,260,4,0.951851007370864,0.263557817460264,0.536095021251151
wind_230,525,9,1.47743433463578,0.0846031959471467,0.193314602185347
wind_231,435,8,2.50623591795638,0.0737430091409805,0.113647486435228
wind_232,90,2,1.26927062114733,0.227329870341382,0.33769281972292
wind_233,128,7,2.1011527665554,0.000329505043559629,0.196423842079925
wind_234,383,18,4.32327119919332,1.03352017328468e-07,0.0108249605589716
wind_235,170,6,0.846276542967091,0.00764474794369775,0.522933973897564
wind_236,158,0,0.336190249274754,1,0.642505038856547
wind_237,398,0,2.97661637613629,1,0.081015020754061
wind_238,406,2,1.76551509538021,0.913792472348423,0.296292651789905
wind_239,69,0,1.43457743087837,1,0.26750477015902
wind_240,283,1,0.173112601693862,0.941821828023292,0.723938488891378
wind_241,15,0,0.638784041287356,1,0.3938601840597
wind_242,194,1,-0.384931643198229,0.857692512217911,0.80704382353858
wind_243,98,0,-0.718600233338191,1,0.836706556371167
wind_250,172,3,-0.292840488037817,0.247689200191282,0.783978106089183
wind_251,556,6,0.770232049112344,0.481815728880876,0.397991517567174
wind_252,418,3,0.717239028639872,0.788565347435903,0.591310763762616
wind_253,173,3,1.46193338698319,0.250352853163952,0.370978128357775
wind_254,1,1,1,1,1
wind_246,3,0,-0.655583030395063,1,0.783187643595816
wind_258,1,1,1,1,1
wind_248,1,1,1,1,1
wind_261,10,1,1.17141155162291,0.0956179249911956,0.22748441045247
wind_263,264,1,0.905923063896237,0.929580753494838,0.548479199247192
wind_265,13,0,1.15781181691848,1,0.23731924139252
wind_266,12,0,0.904077527620022,1,0.305547815161933
wind_269,233,5,0.892728141961145,0.086292031561103,0.542547993513586
wind_270,115,1,1.20735482366555,0.685190826819048,0.38319263856028
wind_273,60,1,1.7982423277026,0.452843357609239,0.175731321717571
wind_274,77,1,-0.12744147488968,0.538778032581905,0.702801986773248
wind_275,327,3,0.273275082798738,0.635810088412166,0.710146337103164
wind_276,335,2,-0.628084539466581,0.848767641510089,0.875259313447917
wind_280,2,0,-0.23556058575425,1,0.661293284862085
wind_281,28,1,0.191222781029754,0.245280712796367,0.561514869440011
wind_283,17,0,0.496264073600559,1,0.444039068713905
wind_284,75,1,0.00747207286202489,0.52941335841435,0.666897875853997
wind_285,136,1,2.50726211708747,0.745090239303691,0.1365048710495
wind_286,124,2,1.5969655022613,0.35221065768878,0.297366354207152
wind_287,183,4,0.708788430563652,0.112609638019165,0.565278687551687
wind_288,139,1,3.49568640978297,0.752661314106132,0.0415191647969995
wind_289,58,4,2.413662974179,0.00276062605498852,0.0806483214574572
wind_290,116,6,5.40259897488211,0.00116252437748214,0.000917148859044148
wind_291,11,0,-0.949997933655631,1,0.852820008551884
wind_279,1,0,0.560484932600313,1,0.38928662516798
wind_282,3,0,-0.680411088877524,1,0.789443713082775
wind_278,1,1,1,1,1
wind_277,1,0,0.470030554555591,1,0.419818135912696
wind_294,267,10,2.73232861656842,0.000419926447430313,0.153218532685756
wind_295,109,2,1.89669565045677,0.297470846130284,0.216937724152384
wind_300,26,0,2.48330274659332,1,0.0445058372085766
wind_301,35,1,2.2672086217709,0.296552305000431,0.073103062597917
wind_302,28,0,0.551497170028755,1,0.4466896765659
wind_307,35,0,0.574737561979215,1,0.451600409814648
wind_298,5,0,-0.270263442829655,1,0.675870310150913
wind_296,6,0,1.89066301090155,1,0.0819268827130815
wind_299,24,0,1.16814408161668,1,0.257051689698267
wind_309,71,0,-0.0134204080091814,1,0.66903095666304
wind_306,2,0,0.111411519899612,1,0.545649923662186
wind_308,1,1,1,1,1
wind_310,21,0,2.98812291834585,1,0.0153989280023913
wind_297,3,0,0.664245237024467,1,0.359687119373231
wind_311,162,0,-0.0636265781662685,1,0.734805314912415
wind_316,1,1,1,1,1
wind_317,175,7,2.07411648846813,0.0020561180372926,0.237457359118714
wind_318,103,7,3.52132981707411,8.57270959376553e-05,0.0275596846307712
wind_320,141,2,2.54626199806343,0.412323282316169,0.134460330436019
wind_322,25,0,-0.0371958472101428,1,0.628607635574976
wind_323,17,0,2.44076790291942,1,0.0400428338652594
wind_326,21,0,0.353370072158866,1,0.498119982831685
wind_327,12,1,-1.53344190069081,0.113615128283871,0.93825881720763
wind_328,27,0,-1.18969760195116,1,0.896395775702101
wind_329,75,1,1.37073339782674,0.52941335841435,0.291733355305666
wind_330,5,0,0.0550559668323642,1,0.570047180613446
wind_332,260,1,0.549301210825576,0.926692130956112,0.634081737942062
wind_335,20,0,-0.445445381953415,1,0.740920901731636
wind_339,40,1,-0.076510086984272,0.33102824143032,0.657313258860623
wind_343,215,0,2.19727859501641,1,0.23379684848068
wind_344,121,2,2.46796059992652,0.341363139112871,0.130735122973031
wind_345,42,1,5.02081909634348,0.344340779425856,0.000209402232873801
wind_346,38,0,3.17369580109641,1,0.0162759665878435
wind_349,89,9,7.70411447768296,3.09228399562465e-07,4.09411770152524e-07
wind_351,18,0,-1.00762291100841,1,0.86544955773036
wind_352,46,1,0.180119200534518,0.370176368796768,0.58914326320992
wind_353,65,0,-3.22613366517035,1,0.997269005516392
wind_355,72,3,2.33702743155179,0.0358068717689962,0.10393378770535
wind_356,11,0,1.84578386701036,1,0.0953050623026118
wind_360,14,0,1.75582061434187,1,0.113578234644178
wind_368,7,0,0.189629890891763,1,0.527876251392177
wind_370,18,0,-0.70492731806817,1,0.803821124520772
wind_373,4,0,-1.87416708698144,1,0.96684948120838
wind_375,5,0,1.39592113614173,1,0.164460457805244
wind_379,39,0,1.68163887889149,1,0.16688715713317
wind_383,20,0,1.16927598768196,1,0.248764380502887
wind_390,7,0,0.283336139748264,1,0.495969988553369
wind_395,8,0,-0.695692920668039,1,0.796202252151648
wind_397,26,0,-0.91502198986604,1,0.850639173467885
wind_398,18,0,1.17680257810698,1,0.242756028652619
wind_399,15,0,-1.67316388030896,1,0.951139132778557
wind_401,5,0,-0.770693445535286,1,0.812303582498614
wind_402,5,0,0.843141552542135,1,0.308168775152869
wind_404,1,1,1,1,1
wind_409,15,0,-0.719583893509059,1,0.805630814360144
wind_411,40,1,0.982750523216779,0.33102824143032,0.338166563581049
wind_414,6,0,-1.0352280445032,1,0.867567614342543
wind_415,34,0,1.14722576111682,1,0.281802617055403
wind_421,31,0,0.387106653279766,1,0.504020602905482
wind_422,23,5,3.13624637826751,2.89527824072991e-06,0.011941907389723
wind_423,3,0,-0.940941723231087,1,0.848490169122963
wind_428,666,3,-0.302352455837767,0.962434533091563,1
wind_429,112,0,-0.498271532530701,1,0.801696131917781
wind_430,23,2,2.4214976581357,0.0220106807623639,0.0466939326313041
wind_431,1,1,1,1,1
wind_432,8,0,0.414635771296313,1,0.453382588643016
wind_438,10,0,-1.36239636078793,1,0.918661680486706
wind_439,36,0,2.62292650320364,1,0.0423173816989259
wind_446,8,0,-2.04857788939299,1,0.976141447532631
wind_448,321,3,0.855408398438969,0.623443850198968,0.568593852633897
wind_449,115,1,0.241230481749473,0.685190826819048,0.63815631017699
wind_450,340,5,1.03565367286398,0.255254888261127,0.520998729051045
wind_451,263,0,-1.07253451277883,1,0.913286032883544
wind_452,31,0,0.502905841031354,1,0.467323812291258
wind_458,6,0,-0.104573186922063,1,0.624563811293877
wind_460,190,0,-0.262692572171965,1,0.784072676932915
wind_461,456,1,0.390165015560185,0.989775343269404,0.677243838103929
wind_462,211,5,2.19083441464505,0.0621713013429533,0.233450769582787
wind_463,216,2,0.861198555711009,0.637024433051803,0.543666991438133
wind_342,1,1,1,1,1
wind_376,6,0,1.33668085357611,1,0.179435132158915
wind_384,5,0,0.627589358650027,1,0.376103462403255
wind_337,19,0,0.534506525583655,1,0.435442632079305
wind_391,3,0,-2.25773542765345,1,0.984983404351741
wind_419,2,0,-0.229724543323729,1,0.659437037190831
wind_324,14,0,-1.24569931581532,1,0.903114999395673
wind_325,5,0,-1.20186990893577,1,0.895643645124115
wind_333,3,0,1.96322843738168,1,0.0689637278836662
wind_338,5,0,0.502527366585529,1,0.41753212358534
wind_341,1,1,1,1,1
wind_348,1,1,1,1,1
wind_354,59,0,3.07806014041459,1,0.0295396263386045
wind_358,1,0,1.75777102597642,1,0.0926736596457294
wind_363,2,0,-0.0871116864519421,1,0.612974282109491
wind_364,1,0,-0.26033258572194,1,0.667879201632028
wind_369,3,0,-1.44839281265328,1,0.929107161385525
wind_372,1,0,1.92200208717195,1,0.0711096378484577
wind_374,14,1,2.20440826886637,0.131254187231022,0.056775788614418
wind_377,1,1,1,1,1
wind_378,1,1,1,1,1
wind_382,7,1,0.849526317710805,0.0679346520930101,0.310764852579773
wind_385,2,0,1.19286686445343,1,0.2048340646685
