gene,SNPs,hits,Z,top_candidate_p,Z_pVal
wind_1,1,0,-1.40599420308732,1,0.930447848259852
wind_2,1,1,1,1,1
wind_10,7,0,0.744262316328192,1,0.344789765025422
wind_14,128,0,-0.117330406615403,1,0.727980715068113
wind_15,347,2,-0.0107261605031872,0.862243471642821,0.733396597969684
wind_16,428,0,-1.09517825663991,1,0.963643990059184
wind_17,190,0,-0.751404998578444,1,0.859015717305928
wind_4,13,0,-0.830480103864285,1,0.836725721225307
wind_6,139,0,-1.71603525750211,1,0.953267464229801
wind_8,82,0,-2.87165314260922,1,0.993823814806793
wind_9,8,0,-1.15584882759439,1,0.89570105433088
wind_13,39,0,0.435068709000456,1,0.5063867109847
wind_3,1,1,1,1,1
wind_5,1,1,1,1,1
wind_20,23,0,0.559153636588758,1,0.439355533184644
wind_21,15,1,0.127268317501873,0.139941645358712,0.568453075631602
wind_25,7,0,2.53722791249762,1,0.0248439492337303
wind_26,1,0,0.954695775627259,1,0.26515968629842
wind_44,1,1,1,1,1
wind_54,20,0,1.08436218086094,1,0.272700386525337
wind_55,16,0,-0.695810761963262,1,0.808143826574805
wind_56,21,0,-0.252095014957364,1,0.695215626263613
wind_57,34,0,-0.0368826129483761,1,0.645256661889031
wind_58,22,1,-1.04062153341972,0.198369410460954,0.878097311692396
wind_59,29,1,0.00468007430952587,0.252827905668404,0.627045445888744
wind_60,29,0,0.0032832165984854,1,0.627473035653474
wind_61,16,0,-0.0628909890424261,1,0.631919628808064
wind_62,1,1,1,1,1
wind_100,14,0,0.228243406237984,1,0.532896004633236
wind_103,1,0,0.38958655454803,1,0.450965882809657
wind_104,28,0,1.6807792623701,1,0.149407851912581
wind_113,10,0,0.947422740610343,1,0.289268845669821
wind_116,20,0,0.881771907509556,1,0.331414783929982
wind_117,181,0,0.603855272123383,1,0.574984908161641
wind_118,326,1,0.053874706390278,0.96223639565625,0.71935565086042
wind_124,3,0,-0.814575143615676,1,0.830003465068275
