"Sample_names","Samples.renames","Population","EcoReefID","EcoLocationID_short","LAT","LON","X1985y_Closest","X1986y_Closest","X1987y_Closest","X1988y_Closest","X1989y_Closest","X1990y_Closest","X1991y_Closest","X1992y_Closest","X1993y_Closest","X1994y_Closest","X1995y_Closest","X1996y_Closest","X1997y_Closest","X1998y_Closest","X1999y_Closest","X2000y_Closest","X2001y_Closest","X2002y_Closest","X2003y_Closest","X2004y_Closest","X2005y_Closest","X2006y_Closest","X2007y_Closest","X2008y_Closest","X2009y_Closest","X2010y_Closest","X2011y_Closest","X2012y_Closest","X2013y_Closest","X2014y_Closest","X2015y_Closest","X2016y_Closest","X2017y_Closest","X2018y_Closest","X2019y_Closest","X2020y_Closest","X2021y_Closest","X2022y_Closest","X2023y_Closest","X2024y_Closest"
"BLCH101A","BLCH101A","OffshoreCentral","Davies","OCDA_BA2S",-18.8145,147.6372,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH105A","BLCH105A","OffshoreCentral","Davies","OCDA_LA1S",-18.833,147.63338,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH107A","BLCH107A","OffshoreCentral","Davies","OCDA_LA1S",-18.833,147.63338,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH108A","BLCH108A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH109A","BLCH109A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH10A","BLCH10A","OffshoreCentral","Davies","OCDA_BA1S",-18.8259,147.62727,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH112A","BLCH112A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH114A","BLCH114A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH117A","BLCH117A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH118A","BLCH118A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH11A","BLCH11A","OffshoreCentral","Davies","OCDA_BA1S",-18.8259,147.62727,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH120A","BLCH120A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH121A","BLCH121A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH122A","BLCH122A","OffshoreCentral","Davies","OCDA_FL1S",-18.80575,147.6686,25.74,26.23,26.25,26.22,25.85,25.57,25.48,25.88,25.8,25.75,26.01,26.22,25.55,26.7,25.8,25.56,26.26,26.09,26.21,26.16,26.11,25.74,25.84,25.94,26.5,26.73,25.9,25.97,26.32,26.09,26.4,27.02,26.58,26.22,25.9,26.55,26.64,26.91,26.65,26.76
"BLCH145A","BLCH145A","OffshoreCentral","Chicken","OCCH_BA1S",-18.6532055,147.708533,25.9,26.31,26.33,26.39,26,25.77,25.56,26.01,25.91,25.92,26.12,26.37,25.63,26.86,25.93,25.71,26.39,26.25,26.35,26.32,26.27,25.89,26.03,26.16,26.65,26.96,26.16,26.18,26.53,26.26,26.53,27.2,26.72,26.38,26.08,26.76,26.83,27.13,26.82,26.96
"BLCH148A","BLCH148A","OffshoreCentral","Chicken","OCCH_BA1S",-18.6532055,147.708533,25.9,26.31,26.33,26.39,26,25.77,25.56,26.01,25.91,25.92,26.12,26.37,25.63,26.86,25.93,25.71,26.39,26.25,26.35,26.32,26.27,25.89,26.03,26.16,26.65,26.96,26.16,26.18,26.53,26.26,26.53,27.2,26.72,26.38,26.08,26.76,26.83,27.13,26.82,26.96
"BLCH151A","BLCH151A","OffshoreCentral","Chicken","OCCH_BA1S",-18.6532055,147.708533,25.9,26.31,26.33,26.39,26,25.77,25.56,26.01,25.91,25.92,26.12,26.37,25.63,26.86,25.93,25.71,26.39,26.25,26.35,26.32,26.27,25.89,26.03,26.16,26.65,26.96,26.16,26.18,26.53,26.26,26.53,27.2,26.72,26.38,26.08,26.76,26.83,27.13,26.82,26.96
"BLCH152A","BLCH152A","OffshoreCentral","Chicken","OCCH_BA1S",-18.6532055,147.708533,25.9,26.31,26.33,26.39,26,25.77,25.56,26.01,25.91,25.92,26.12,26.37,25.63,26.86,25.93,25.71,26.39,26.25,26.35,26.32,26.27,25.89,26.03,26.16,26.65,26.96,26.16,26.18,26.53,26.26,26.53,27.2,26.72,26.38,26.08,26.76,26.83,27.13,26.82,26.96
"BLCH154A","BLCH154A","OffshoreCentral","Chicken","OCCH_BA1S",-18.6532055,147.708533,25.9,26.31,26.33,26.39,26,25.77,25.56,26.01,25.91,25.92,26.12,26.37,25.63,26.86,25.93,25.71,26.39,26.25,26.35,26.32,26.27,25.89,26.03,26.16,26.65,26.96,26.16,26.18,26.53,26.26,26.53,27.2,26.72,26.38,26.08,26.76,26.83,27.13,26.82,26.96
