Sample_names,Samplesrenames,Population,EcoReefID,EcoLocationID_short,LAT,LON,1985y,1986y,1987y,1988y,1989y,1990y,1991y,1992y,1993y,1994y,1995y,1996y,1997y,1998y,1999y,2000y,2001y,2002y,2003y,2004y,2005y,2006y,2007y,2008y,2009y,2010y,2011y,2012y,2013y,2014y,2015y,2016y,2017y,2018y,2019y,2020y,2021y,2022y,2023y,2024y
Spis_LIZA_488,Spis-LIZA-488,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_484,Spis-ONLI-484,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_486,Spis-ONLI-486,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_804,Spis-ONLI-804,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_805,Spis-ONLI-805,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_807,Spis-ONLI-807,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_449,Spis-ONLI-449,Lizard,Lizard,ONLI_FL1S,-14.6980975,145.445447,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_455,Spis-ONLI-455,Lizard,Lizard,ONLI_FL1S,-14.6980975,145.445447,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_456,Spis-ONLI-456,Lizard,Lizard,ONLI_FL1S,-14.6980975,145.445447,28.9,28.56,29.41,28.69,29.21,28.41,28.99,28.36,28.27,29.3,29.24,29.08,28.41,29.29,28.93,28.7,28.73,29.2,29.2,29.46,28.77,29.25,29.1,29.19,29.26,29.31,29.03,28.8,28.86,28.64,28.97,29.79,29.79,29.19,28.79,29.51,29.5,29.44,29.03,29.76
Spis_ONLI_810,Spis-ONLI-810,Lizard,Lizard,ONLI_BA1S,-14.650714,145.450096,28.91,28.54,29.38,28.65,29.18,28.36,28.97,28.42,28.25,29.26,29.2,29.06,28.4,29.25,28.9,28.7,28.73,29.17,29.2,29.45,28.77,29.23,29.07,29.19,29.26,29.33,29.03,28.8,28.84,28.65,28.97,29.8,29.76,29.16,28.78,29.52,29.48,29.41,29.03,29.73
