Sample_names,Samplesrenames,Population,EcoReefID,EcoLocationID_short,LAT,LON,1985y,1986y,1987y,1988y,1989y,1990y,1991y,1992y,1993y,1994y,1995y,1996y,1997y,1998y,1999y,2000y,2001y,2002y,2003y,2004y,2005y,2006y,2007y,2008y,2009y,2010y,2011y,2012y,2013y,2014y,2015y,2016y,2017y,2018y,2019y,2020y,2021y,2022y,2023y,2024y
Spis_LIZA_488,Spis-LIZA-488,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_484,Spis-ONLI-484,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_486,Spis-ONLI-486,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_804,Spis-ONLI-804,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_805,Spis-ONLI-805,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_807,Spis-ONLI-807,Lizard,Lizard,ONLI_BA2S,-14.667794,145.441894,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_449,Spis-ONLI-449,Lizard,Lizard,ONLI_FL1S,-14.6980975,145.445447,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_455,Spis-ONLI-455,Lizard,Lizard,ONLI_FL1S,-14.6980975,145.445447,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_456,Spis-ONLI-456,Lizard,Lizard,ONLI_FL1S,-14.6980975,145.445447,22.97,24.76,23.05,24.27,23.45,23.72,22.99,23.31,23.86,23.01,23.41,24.42,23.11,24.63,23.17,23.18,23.76,23.6,24.15,23.71,23.76,23.85,23.81,23.54,24.56,25.26,22.93,23.9,24.36,24.1,24.31,24.9,24.49,24.2,23.57,24.48,25.06,24.56,24.48,24.45
Spis_ONLI_810,Spis-ONLI-810,Lizard,Lizard,ONLI_BA1S,-14.650714,145.450096,23.13,24.84,23.17,24.41,23.53,23.86,23.1,23.39,23.97,23.14,23.52,24.46,23.25,24.77,23.3,23.26,23.85,23.76,24.24,23.85,23.89,23.97,23.98,23.69,24.68,25.36,23.11,24.06,24.54,24.23,24.44,25.02,24.63,24.32,23.7,24.67,25.16,24.82,24.69,24.57
Spis_ONLI_814,Spis-ONLI-814,Lizard,Lizard,ONLI_BA1S,-14.650714,145.450096,23.13,24.84,23.17,24.41,23.53,23.86,23.1,23.39,23.97,23.14,23.52,24.46,23.25,24.77,23.3,23.26,23.85,23.76,24.24,23.85,23.89,23.97,23.98,23.69,24.68,25.36,23.11,24.06,24.54,24.23,24.44,25.02,24.63,24.32,23.7,24.67,25.16,24.82,24.69,24.57
Spis_ONLI_815,Spis-ONLI-815,Lizard,Lizard,ONLI_BA1S,-14.650714,145.450096,23.13,24.84,23.17,24.41,23.53,23.86,23.1,23.39,23.97,23.14,23.52,24.46,23.25,24.77,23.3,23.26,23.85,23.76,24.24,23.85,23.89,23.97,23.98,23.69,24.68,25.36,23.11,24.06,24.54,24.23,24.44,25.02,24.63,24.32,23.7,24.67,25.16,24.82,24.69,24.57
Spis_LIZA_489,Spis-LIZA-489,Lizard,Lizard,ONLI_LA1S,-14.6877065,145.465276,23.13,24.84,23.17,24.41,23.53,23.86,23.1,23.39,23.97,23.14,23.52,24.46,23.25,24.77,23.3,23.26,23.85,23.76,24.24,23.85,23.89,23.97,23.98,23.69,24.68,25.36,23.11,24.06,24.54,24.23,24.44,25.02,24.63,24.32,23.7,24.67,25.16,24.82,24.69,24.57
Spis_ONLI_490,Spis-ONLI-490,Lizard,Lizard,ONLI_LA1S,-14.6877065,145.465276,23.13,24.84,23.17,24.41,23.53,23.86,23.1,23.39,23.97,23.14,23.52,24.46,23.25,24.77,23.3,23.26,23.85,23.76,24.24,23.85,23.89,23.97,23.98,23.69,24.68,25.36,23.11,24.06,24.54,24.23,24.44,25.02,24.63,24.32,23.7,24.67,25.16,24.82,24.69,24.57
Spis_ONLI_491,Spis-ONLI-491,Lizard,Lizard,ONLI_LA1S,-14.6877065,145.465276,23.13,24.84,23.17,24.41,23.53,23.86,23.1,23.39,23.97,23.14,23.52,24.46,23.25,24.77,23.3,23.26,23.85,23.76,24.24,23.85,23.89,23.97,23.98,23.69,24.68,25.36,23.11,24.06,24.54,24.23,24.44,25.02,24.63,24.32,23.7,24.67,25.16,24.82,24.69,24.57
Spis_ONLI_493,Spis-ONLI-493,Lizard,Lizard,ONLI_LA1S,-14.6877065,145.465276,23.13,24.84,23.17,24.41,23.53,23.86,23.1,23.39,23.97,23.14,23.52,24.46,23.25,24.77,23.3,23.26,23.85,23.76,24.24,23.85,23.89,23.97,23.98,23.69,24.68,25.36,23.11,24.06,24.54,24.23,24.44,25.02,24.63,24.32,23.7,24.67,25.16,24.82,24.69,24.57
