Sample_names,EcoLocationID_short,salt_mean,salt_median,salt_mode,salt_max,salt_min,salt_daily_range,salt_q95,salt_q5,salt_sd,temp_mean,temp_median,temp_mode,temp_max,temp_min,temp_daily_range,temp_q95,temp_q5,temp_sd,speed_mean,speed_median,speed_mode,speed_sd,DIC_mean,DIC_median,DIC_mode,DIC_max,DIC_min,DIC_q95,DIC_q5,DIC_sd,NH4_mean,NH4_median,NH4_mode,NH4_max,NH4_min,NH4_q95,NH4_q5,NH4_sd,EpiPAR_sg_mean,EpiPAR_sg_median,EpiPAR_sg_max,EpiPAR_sg_q95,EpiPAR_sg_q5,EpiPAR_sg_sd,Secchi_mean,Secchi_median,Secchi_mode,Secchi_max,Secchi_min,Secchi_q95,Secchi_q5,Secchi_sd,PH_mean,PH_median,PH_mode,PH_max,PH_min,PH_q95,PH_q5,PH_sd,alk_mean,alk_median,alk_mode,alk_max,alk_min,alk_q95,alk_q5,alk_sd,Chl_a_sum_mean,Chl_a_sum_median,Chl_a_sum_max,Chl_a_sum_q95,Chl_a_sum_q5,Chl_a_sum_sd,bPAR_sd
BLCH101A,OCDA_BA2S,35.19078507,35.29174219,35.42022215,35.63746496,32.85020366,0.035170232,35.50517788,34.54992326,0.308248919,26.73636411,27.04292969,27.1672841,31.52852646,22.97829675,0.282606586,29.60624684,23.8125621,1.928055836,0.072753759,0.061426097,0.081297345,0.049059213,23011.61878,23018.31964,23153.12864,23153.6737,22851.52804,23151.97536,22890.46732,81.96033033,0.054461283,0.035849083,0.032404728,0.508992869,0.02345896,0.047102528,0.027373732,0.094862076,4.951693562,4.530165873,9.92518256,9.451168941,2.17500344,2.37198756,20.06668812,19.24506779,20.09996549,25.84500291,15.61976903,24.53795098,16.64062308,2.803160938,8.083994443,8.082414114,8.09567401,8.120314923,8.038948011,8.117491402,8.053680456,0.023839815,2251.901419,2251.682099,2251.682099,2264.218557,2243.257713,2257.039173,2246.19693,4.458963571,0.295322954,0.304099577,0.499042717,0.477501515,0.075963722,0.141552981,4.049181904
BLCH105A,OCDA_LA1S,35.19174829,35.29333135,35.42332343,35.65376952,32.85903727,0.035873589,35.51146434,34.54621734,0.309715734,26.73660679,27.03848136,27.1780994,31.46147053,22.96105165,0.287012107,29.58940458,23.81218044,1.928027943,0.082990463,0.069945734,0.087547016,0.056617034,23016.87053,23016.34272,23092.26106,23174.23422,22835.17843,23155.94432,22879.27087,89.71273829,0.047029793,0.033906715,0.329290564,0.329290564,0.020961703,0.064296765,0.022964273,0.059626338,3.967585028,3.651267284,7.315770712,6.988645792,1.69875277,1.827395379,20.92402454,20.01096568,30.20712496,30.20712496,16.88343953,28.29530253,17.02323674,3.592269339,8.075380489,8.076042744,8.028480093,8.120132497,8.028480093,8.113279558,8.04224729,0.02580819,2251.7675,2252.344213,2250.977265,2264.24011,2241.659897,2259.327935,2241.987305,5.779398684,0.27197878,0.29624625,0.540672261,0.467401283,0.085626911,0.134860305,5.558274258
BLCH107A,OCDA_LA1S,35.19174829,35.29333135,35.42332343,35.65376952,32.85903727,0.035873589,35.51146434,34.54621734,0.309715734,26.73660679,27.03848136,27.1780994,31.46147053,22.96105165,0.287012107,29.58940458,23.81218044,1.928027943,0.082990463,0.069945734,0.087547016,0.056617034,23016.87053,23016.34272,23092.26106,23174.23422,22835.17843,23155.94432,22879.27087,89.71273829,0.047029793,0.033906715,0.329290564,0.329290564,0.020961703,0.064296765,0.022964273,0.059626338,3.967585028,3.651267284,7.315770712,6.988645792,1.69875277,1.827395379,20.92402454,20.01096568,30.20712496,30.20712496,16.88343953,28.29530253,17.02323674,3.592269339,8.075380489,8.076042744,8.028480093,8.120132497,8.028480093,8.113279558,8.04224729,0.02580819,2251.7675,2252.344213,2250.977265,2264.24011,2241.659897,2259.327935,2241.987305,5.779398684,0.27197878,0.29624625,0.540672261,0.467401283,0.085626911,0.134860305,5.558274258
BLCH108A,OCDA_FL1S,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH109A,OCDA_FL1S,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH10A,OCDA_BA1S,35.19061315,35.29291686,35.42310081,35.65236158,32.81556088,0.037083315,35.50935195,34.54982902,0.309694437,26.74381948,27.04709057,27.18817145,31.54577934,22.95810651,0.293276524,29.62022685,23.81117606,1.927807708,0.084205478,0.07075,0.091517174,0.054698268,23033.47981,23030.98288,23073.64467,23237.13233,22845.83553,23182.18502,22891.92815,93.65268949,0.052398585,0.036820177,0.031929355,0.184215228,0.020280249,0.16890274,0.026496476,0.042976935,4.215770956,3.635285662,11.97776891,7.688149137,1.472650629,2.509654513,21.30941342,20.25358621,29.25104856,30.71248959,14.16297539,30.33771049,16.94167986,4.462871222,8.075038626,8.075881011,8.045395445,8.114228588,8.030396007,8.110683363,8.036900471,0.024680718,2252.630905,2252.241051,2259.263696,2269.729904,2241.324701,2262.487042,2242.495634,6.3878654,0.281412202,0.271612754,0.773363099,0.473812447,0.047992206,0.176443126,5.558274258
BLCH112A,OCDA_FL1S,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH114A,OCDA_FL1S,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH117A,OCDA_FL1S,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH118A,OCDA_FL1S,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
