Site.code,lat,long,Reef,Site,Zone,alk_mean,alk_median,alk_sd,Chl_a_sum_mean,Chl_a_sum_median,Chl_a_sum_sd,DIC_mean,DIC_median,DIC_sd,DIN_mean,DIN_median,DIN_sd,DIP_mean,DIP_median,DIP_sd,Ed100,Ed90,Edmean,Ef100,Ef90,Efmean,EpiPAR_mean,EpiPAR_median,EpiPAR_sd,EpiPAR_sg_mean,EpiPAR_sg_median,EpiPAR_sg_sd,FineSed_mean,FineSed_median,FineSed_sd,Hs100,Hs70,Hs80,Hs90,Hs95,Hsmean,Kd_490_mean,Kd_490_median,Kd_490_sd,NH4_mean,NH4_median,NH4_sd,NO3_mean,NO3_median,NO3_sd,omega_ar_expose_mean,omega_ar_expose_median,omega_ar_expose_sd,omega_ar_mean,omega_ar_median,omega_ar_sd,Oxygen_mean,Oxygen_median,Oxygen_sd,PAR_mean,PAR_median,PAR_sd,PAR_z_mean,PAR_z_median,PAR_z_sd,PH_mean,PH_median,PH_sd,salt_mean,salt_median,salt_sd,Secchi_mean,Secchi_median,Secchi_sd,TC_mean,TC_median,TC_sd,temp_mean,temp_median,temp_sd,TN_mean,TN_median,TN_sd,TP_mean,TP_median,TP_sd,Tp100,Tp90,Tp99,Tpmean,Turbidity_mean,Turbidity_median,Turbidity_sd,ubed100,ubed90,ubedmean,ubedmean_pred,UonrootT100,UonrootT90,uWSL100,uWSL90,uWSL99,MaxMonthlyMean,MinMonthlyMean,MonthlyRange
CBHE_BA1D,-23.42807,151.95224,CBHE,BA1,D,2246.797561,2247.338867,5.841427109,0.772041957,0.714032054,0.316033063,23005.95011,22988.02344,119.0771319,0.903195664,0.336664379,1.940593354,0.670116205,0.229195714,1.028200635,14132.36035,802.9737617,400.5388862,124042.1762,5341.11952,2783.680962,0.000263058,0.000250529,0.000111462,0.000263058,0.000250529,0.000111462,2.18E-09,7.27E-10,7.68E-09,4.742914677,0.792571631,0.921197527,1.146433181,1.374415848,0.672061947,0.073515516,0.072102368,0.014977834,0.04587292,0.043404233,0.025155881,0.857410318,0.290690601,1.932776382,386.5702159,385.5574646,228.6554451,3.622939249,3.636015892,0.104851345,6980.01553,6972.216309,204.1824672,0.000263058,0.000250529,0.000111462,0.000318762,0.000307328,0.00013028,8.098863144,8.094995499,0.029928533,35.54925989,35.5414772,0.132663829,14.29448723,14.0609169,2.733031198,23552.7688,23529.92578,461.4858681,24.71601686,24.75110245,1.991303824,94.44429213,93.08015442,16.95763512,10.708196,10.14755821,2.838886293,14.10883575,8.907370885,10.81678073,6.361762842,0.501432551,0.486661017,0.107369597,1.467388511,0.294803003,0.20785649,0.20785649,0.572661267,0.191942084,1.709067451,0.461372134,0.721512225,28.25893402,21.70922661,6.549707413
CBHE_BA1F,-23.42878,151.95253,CBHE,BA1,F,2246.749962,2247.359863,6.520777468,0.745958928,0.691115141,0.298175768,23004.43094,22987.11523,121.6595949,0.877182042,0.331122845,1.877804358,0.66653079,0.226764888,1.032156512,7550.280056,813.1577759,394.7860277,46634.69965,4287.571479,2185.211995,0.000946542,0.000932457,0.000348303,0.000946542,0.000932457,0.000348303,2.01E-09,6.62E-10,6.86E-09,3.432099793,0.822575682,0.949250513,1.152096695,1.345999373,0.681164371,0.072850803,0.071429364,0.01498674,0.044791252,0.043188937,0.012028082,0.832467573,0.286397457,1.873178595,387.2916403,386.3817749,229.0480323,3.622588939,3.635919809,0.105214123,6985.508223,6977.119141,204.0147615,0.000946542,0.000932457,0.000348303,0.001036016,0.001023949,0.000380207,8.099056981,8.095160484,0.030013355,35.54901054,35.54110527,0.132992678,14.29448723,14.0609169,2.733031198,23550.39197,23527.87695,461.7838207,24.71534095,24.75292397,1.991339746,93.86432468,92.56051636,16.75033654,10.63108138,10.09246922,2.812739362,14.24787045,9.385551241,11.06703112,6.989938365,0.498969638,0.483728826,0.105285474,1.807832546,0.586859253,0.403777033,0.403777033,0.605860995,0.248234454,1.917008903,0.677247617,0.986534576,28.29654121,21.69008064,6.606460571
CBHE_BA1S,-23.42847,151.95242,CBHE,BA1,S,2246.796693,2247.344727,5.906486962,0.755316183,0.698609471,0.304916726,23004.80687,22986.76367,119.3447673,0.886669544,0.333392411,1.902076375,0.666513327,0.228124231,1.025529468,11169.01454,827.3922323,406.7905986,84715.83941,5057.33138,2596.469482,0.000532178,0.000520458,0.00020268,0.000532178,0.000520458,0.00020268,2.11E-09,6.95E-10,7.42E-09,4.196434922,0.806541145,0.938217971,1.162757185,1.387766745,0.680321031,0.073112029,0.071788281,0.014779118,0.045205221,0.043288838,0.016296694,0.841543424,0.288398534,1.896179401,386.8069538,385.8361511,228.8360098,3.622793037,3.635859728,0.104985559,6983.437015,6974.818848,204.3782398,0.000532178,0.000520458,0.00020268,0.00064037,0.000629035,0.000240234,8.098952981,8.094984055,0.029989731,35.54919236,35.54125786,0.132750301,14.29448723,14.0609169,2.733031198,23551.46595,23528.63281,461.4727602,24.7157892,24.7538805,1.991375634,94.1457314,92.7971344,16.84607079,10.66751525,10.11345196,2.824082914,14.21365537,9.175757196,10.95135784,6.69855992,0.500296613,0.485690504,0.106493781,1.674789561,0.426474286,0.296382447,0.296382447,0.572569887,0.213976502,1.847741458,0.552758806,0.850225482,28.29853058,21.69296455,6.605566025
CBHE_BA2D,-23.43398,151.92041,CBHE,BA2,D,2243.342034,2243.815918,6.534427082,0.609335974,0.570521057,0.248587091,22997.81799,22976.72266,129.4268484,0.375389122,0.177792013,0.864980071,0.605623935,0.177622572,1.041498331,7470.063694,521.1008335,253.5905524,53960.51649,2849.928087,1484.480577,0.000305239,0.000292622,0.000125829,0.000305239,0.000292622,0.000125829,4.09E-09,1.19E-09,1.40E-08,3.426980813,0.640338341,0.747872558,0.929580808,1.105794417,0.536795245,0.068404347,0.067002386,0.014789191,0.012117729,0.002359062,0.020028534,0.363319262,0.164222538,0.85559713,404.5627972,404.9058533,241.6626649,3.608891349,3.624026299,0.11442849,6980.224563,6969.224121,201.8344402,0.000305239,0.000292622,0.000125829,0.00033513,0.000323191,0.000135804,8.093932169,8.090368271,0.03088247,35.55448421,35.54649353,0.13279652,12.3662601,12.35572433,1.008473845,23550.08121,23527.79297,463.0099918,24.72836471,24.78649521,2.020465866,94.1372087,91.80499268,17.02180503,10.63723649,9.929636955,2.903112207,14.48726643,9.006654421,10.92185105,6.350000328,0.4740804,0.457780302,0.111378383,1.507612467,0.375078946,0.255640381,0.255640381,0.6009333,0.193795507,1.640398873,0.483730359,0.758304854,28.33029938,21.69106293,6.63923645
CBHE_BA2F,-23.43408,151.92091,CBHE,BA2,F,2246.222261,2246.794434,6.758182775,0.597207597,0.560954511,0.239063413,23018.06434,22997.39844,130.6441509,0.441131394,0.237942025,0.84361949,0.597250005,0.168794587,1.039289272,6016.234701,503.5036282,245.6791501,36899.18164,2552.029568,1321.652818,0.000954451,0.000946065,0.000350196,0.000954451,0.000946065,0.000350196,3.55E-09,1.03E-09,1.10E-08,3.036322594,0.636739665,0.73897524,0.910078042,1.073136873,0.531306605,0.067628512,0.066360094,0.014233034,0.041775369,0.040500578,0.011684332,0.399399361,0.197046474,0.838464005,402.7237504,402.8586731,240.6550859,3.60908674,3.623872757,0.114595296,6974.272803,6965.290527,200.7987431,0.000954451,0.000946065,0.000350196,0.001042343,0.001035079,0.000381556,8.094711157,8.091361046,0.03097613,35.55438637,35.54658127,0.132975408,12.3662601,12.35572433,1.008473845,23566.11134,23543.51758,463.5220506,24.72655088,24.78558254,2.020148531,93.30051372,91.46320343,16.77875287,10.50900432,9.836649895,2.862177973,15.05674638,9.326801194,11.19837697,6.765167872,0.469070796,0.453855544,0.103894815,1.664234082,0.486692578,0.334051258,0.334051258,0.620000409,0.212912197,1.758516497,0.56268343,0.854340772,28.33461761,21.67834091,6.656276703
CBHE_BA2S,-23.43401,151.92088,CBHE,BA2,S,2246.214276,2246.76001,6.464165616,0.601987841,0.565055132,0.242939346,23017.74698,22997.04883,129.3475318,0.440879996,0.237271994,0.845834021,0.596669182,0.169014215,1.034468714,6960.975749,536.8958062,260.2783729,46230.31467,2854.243761,1469.960815,0.000546444,0.00053577,0.000207139,0.000546444,0.00053577,0.000207139,3.76E-09,1.09E-09,1.25E-08,3.294793924,0.651952684,0.760243303,0.941963262,1.115257859,0.544837203,0.067889799,0.066670015,0.014306503,0.041849218,0.040519629,0.012681653,0.399074219,0.196350247,0.840332308,402.5606928,402.6993408,240.6278439,3.609194045,3.624161482,0.114520661,6972.948433,6963.794922,201.1410895,0.000546444,0.00053577,0.000207139,0.000653112,0.000643656,0.000244007,8.094538059,8.091073036,0.030962705,35.55440358,35.5465641,0.132974632,12.3662601,12.35572433,1.008473845,23566.92384,23544.08008,463.3251835,24.72739215,24.78575134,2.020304677,93.58343288,91.57516479,16.87017808,10.54536962,9.857112885,2.874741794,14.90101348,9.234555562,11.11948776,6.647738775,0.470841096,0.455209702,0.107005798,1.617953022,0.438421706,0.299371842,0.299371842,0.618932578,0.203938398,1.732113123,0.529085769,0.817700267,28.3389225,21.68365669,6.655265808
CBHE_FL1F,-23.45601,151.92572,CBHE,FL1,F,2246.222261,2246.794434,6.758182775,0.597207597,0.560954511,0.239063413,23018.06434,22997.39844,130.6441509,0.441131394,0.237942025,0.84361949,0.597250005,0.168794587,1.039289272,3594.727919,456.9364827,192.3283776,20350.20627,1986.419244,927.7004259,0.000954451,0.000946065,0.000350196,0.000954451,0.000946065,0.000350196,3.55E-09,1.03E-09,1.10E-08,2.367382447,0.526513805,0.675285452,0.871724685,1.017403192,0.42884127,0.067628512,0.066360094,0.014233034,0.041775369,0.040500578,0.011684332,0.399399361,0.197046474,0.838464005,402.7237504,402.8586731,240.6550859,3.60908674,3.623872757,0.114595296,6974.272803,6965.290527,200.7987431,0.000954451,0.000946065,0.000350196,0.001042343,0.001035079,0.000381556,8.094711157,8.091361046,0.03097613,35.56096955,35.55128479,0.134545892,12.3662601,12.35572433,1.008473845,23566.11134,23543.51758,463.5220506,24.74838812,24.81455421,2.047634816,93.30051372,91.46320343,16.77875287,10.50900432,9.836649895,2.862177973,13.68295309,7.582959758,9.443768713,5.310238785,0.469070796,0.453855544,0.103894815,1.323727647,0.455561562,0.287180574,0.287180574,0.598745339,0.242185892,1.437857535,0.563794189,0.812260952,28.40063667,21.65130234,6.749334335
CBHE_FL1S,-23.45611,151.92566,CBHE,FL1,S,2246.214276,2246.76001,6.464165616,0.601987841,0.565055132,0.242939346,23017.74698,22997.04883,129.3475318,0.440879996,0.237271994,0.845834021,0.596669182,0.169014215,1.034468714,4427.933295,506.0925802,214.0145704,28159.44553,2386.087958,1103.432549,0.000546444,0.00053577,0.000207139,0.000546444,0.00053577,0.000207139,3.76E-09,1.09E-09,1.25E-08,2.636300352,0.545128796,0.702074971,0.9179933,1.082353592,0.448431028,0.067889799,0.066670015,0.014306503,0.041849218,0.040519629,0.012681653,0.399074219,0.196350247,0.840332308,402.5606928,402.6993408,240.6278439,3.609194045,3.624161482,0.114520661,6972.948433,6963.794922,201.1410895,0.000546444,0.00053577,0.000207139,0.000653112,0.000643656,0.000244007,8.094538059,8.091073036,0.030962705,35.56143199,35.55156517,0.134055741,12.3662601,12.35572433,1.008473845,23566.92384,23544.08008,463.3251835,24.74985693,24.81514359,2.048111053,93.58343288,91.57516479,16.87017808,10.54536962,9.857112885,2.874741794,13.33757464,7.276675012,9.282548375,5.140930176,0.470841096,0.455209702,0.107005798,1.236943907,0.384484635,0.244084944,0.244084944,0.563294629,0.22995241,1.385380122,0.523232765,0.765197661,28.40351295,21.65702057,6.746492386
CBHE_FR1D,-23.47209,151.97797,CBHE,FR1,D,2247.266365,2247.839844,6.342551721,0.645583969,0.605982959,0.245062019,23018.3396,22999.61719,126.7593504,0.54299639,0.253184885,1.216399563,0.626891865,0.198724046,1.02975249,10353.80273,1346.72621,584.4146864,82430.84722,7634.274957,3618.70893,0.000293429,0.000280674,0.000121354,0.000293429,0.000280674,0.000121354,3.27E-09,9.71E-10,1.08E-08,4.049358792,0.939476973,1.144229756,1.475565698,1.740283953,0.77282895,0.069073117,0.067764498,0.014371189,0.015673466,0.003748772,0.030359672,0.527393623,0.23836571,1.20533457,392.7691238,392.099884,235.0781049,3.616736993,3.630477428,0.113110159,6980.238986,6967.339844,205.7164992,0.000293429,0.000280674,0.000121354,0.000332275,0.000319648,0.000134404,8.095592011,8.091597557,0.03045318,35.56259261,35.54822731,0.135271244,12.9310937,12.98550224,1.126347435,23564.96467,23543.38672,462.6977156,24.75210355,24.80325985,2.028686302,93.68117506,91.89723969,16.8358613,10.58711327,9.921870232,2.851800806,13.82930183,8.186621878,9.643924925,6.169189506,0.476107194,0.458496243,0.108963055,1.394530084,0.400523848,0.276205916,0.276205916,0.540867666,0.2757397,1.6373946,0.665656302,0.940295776,28.31015778,21.69550514,6.614652634
CBHE_FR1F,-23.47164,151.97749,CBHE,FR1,F,2247.066191,2247.646484,6.528544139,0.631943446,0.593249738,0.235442708,23019.39565,23000.17188,128.5972363,0.613591968,0.30878666,1.202189175,0.62196352,0.192483261,1.025697077,5128.822211,888.361891,392.3890042,29379.85308,4155.541775,1950.851386,0.000952113,0.000937634,0.000348676,0.000952113,0.000937634,0.000348676,2.89E-09,8.62E-10,9.08E-09,2.733404583,0.808126589,0.963904427,1.17895227,1.34451286,0.648998578,0.068422001,0.067215748,0.013826555,0.044949667,0.041697383,0.0232592,0.568708362,0.266838133,1.194479334,393.5907831,393.0013123,235.443946,3.615947455,3.629730463,0.113161693,6976.129887,6964.610352,204.224562,0.000952113,0.000937634,0.000348676,0.001040366,0.001025506,0.00037999,8.096121699,8.092268944,0.030524986,35.56173783,35.54795265,0.134263596,12.9310937,12.98550224,1.126347435,23563.35597,23540.08398,463.2435843,24.75005669,24.80206013,2.028442466,93.07299471,91.52442169,16.64230359,10.49007731,9.843476295,2.816466351,13.82935672,8.387347115,9.767111672,6.403514067,0.472360596,0.455453038,0.102374687,1.676448796,0.707819687,0.475948933,0.475948933,0.604833702,0.327602264,1.789900449,0.825536138,1.116207904,28.33787537,21.68066216,6.657213211
