Sample_names,Samples_renames,EcoClusterID,fieldID,tagID,healthChart,Population,timeOfDay,depthOfBottominMeters,decimalLatitude,decimalLongitude,EcoLocationID_short,EcoReefID,EcoSiteID,EcoZoneID,EcoPlotID,eventEnteredBy,dayCollected,monthCollected,yearCollected,dateCollected
BLCH101A,BLCH101A,Offshore Central GBR,31,Spis_51,C2,OffshoreCentral,16:00:00,5,-18.8145,147.6372,OCDA_BA2S,Davies,Back 2,Shallow,1,Zoe Meziere,30,3,2022,30/3/2022
BLCH105A,BLCH105A,Offshore Central GBR,40,Spis_37,D1,OffshoreCentral,11:30:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon 1,Shallow,2,Zoe Meziere,31,3,2022,31/3/2022
BLCH107A,BLCH107A,Offshore Central GBR,22,Spis_46,C2,OffshoreCentral,11:30:00,5,-18.833,147.63338,OCDA_LA1S,Davies,Lagoon 1,Shallow,4,Zoe Meziere,31,3,2022,31/3/2022
BLCH108A,BLCH108A,Offshore Central GBR,7,Spis_0,C1,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,31/3/2022
BLCH109A,BLCH109A,Offshore Central GBR,18,Spis_10,D1,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,31/3/2022
BLCH10A,BLCH10A,Offshore Central GBR,18,Spis_17,C2,OffshoreCentral,14:30:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back 1,Shallow,4,Zoe Meziere,28,3,2022,28/3/2022
BLCH112A,BLCH112A,Offshore Central GBR,30,Spis_4,C3,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,31/3/2022
BLCH114A,BLCH114A,Offshore Central GBR,26,Spis_9,C2,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,1,Zoe Meziere,31,3,2022,31/3/2022
BLCH117A,BLCH117A,Offshore Central GBR,38,Spis_21,C3,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,31/3/2022
BLCH118A,BLCH118A,Offshore Central GBR,10,Spis_22,C2.5,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,31/3/2022
BLCH11A,BLCH11A,Offshore Central GBR,11,Spis_43,C1,OffshoreCentral,14:30:00,5,-18.8259,147.62727,OCDA_BA1S,Davies,Back 1,Shallow,4,Zoe Meziere,28,3,2022,28/3/2022
BLCH120A,BLCH120A,Offshore Central GBR,5,Spis_20,C2,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,31/3/2022
BLCH121A,BLCH121A,Offshore Central GBR,31,Spis_19,C2,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,31/3/2022
BLCH122A,BLCH122A,Offshore Central GBR,22,Spis_23,C2,OffshoreCentral,15:00:00,5,-18.80575,147.6686,OCDA_FL1S,Davies,Flank 1,Shallow,4,Zoe Meziere,31,3,2022,31/3/2022
BLCH145A,BLCH145A,Offshore Central GBR,1,Spis_9,C2,OffshoreCentral,10:30:00,5,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back 1,Shallow,1,Zoe Meziere,1,4,2022,1/4/2022
BLCH148A,BLCH148A,Offshore Central GBR,16,Spis_3,C2,OffshoreCentral,10:30:00,5,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back 1,Shallow,2,Zoe Meziere,1,4,2022,1/4/2022
BLCH151A,BLCH151A,Offshore Central GBR,17,Spis_8,C2,OffshoreCentral,10:30:00,5,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,1/4/2022
BLCH152A,BLCH152A,Offshore Central GBR,3,Spis_13,C2,OffshoreCentral,10:30:00,5,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,1/4/2022
BLCH154A,BLCH154A,Offshore Central GBR,33,Spis_11,C3,OffshoreCentral,10:30:00,5,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back 1,Shallow,3,Zoe Meziere,1,4,2022,1/4/2022
BLCH157A,BLCH157A,Offshore Central GBR,34,Spis_34,C2,OffshoreCentral,10:30:00,5,-18.6532055,147.708533,OCCH_BA1S,Chicken,Back 1,Shallow,4,Zoe Meziere,1,4,2022,1/4/2022
BLCH16A,BLCH16A,Offshore Central GBR,5,Spis_8,C2,OffshoreCentral,14:30:00,3,-18.8259,147.62727,OCDA_BA1S,Davies,Back 1,Shallow,2,Zoe Meziere,28,3,2022,28/3/2022
BLCH174A,BLCH174A,Offshore Central GBR,19,Spis_10,D1,OffshoreCentral,15:30:00,5,-18.6604,147.7027,OOCH_BA2S,Chicken,Back 2,Shallow,4,Zoe Meziere,1,4,2022,1/4/2022
BLCH182A,BLCH182A,Offshore Central GBR,22,Spis_26,C2.5,OffshoreCentral,8:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank 1,Shallow,1,Zoe Meziere,2,4,2022,2/4/2022
BLCH184B,BLCH184B,Offshore Central GBR,36,Spis_30,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,1,Zoe Meziere,2,4,2022,2/4/2022
BLCH190A,BLCH190A,Offshore Central GBR,5,Spis_30,D1,OffshoreCentral,8:00:00,5,-18.944062,147.699285,OCLB_FL1S,Little Broadhurst,Flank 1,Shallow,3,Zoe Meziere,2,4,2022,2/4/2022
BLCH193B,BLCH193B,Offshore Central GBR,37,Spis_10,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,1,Zoe Meziere,2,4,2022,2/4/2022
BLCH194B,BLCH194B,Offshore Central GBR,19,Spis_16,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,1,Zoe Meziere,2,4,2022,2/4/2022
BLCH195B,BLCH195B,Offshore Central GBR,12,Spis_16,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,2/4/2022
BLCH196B,BLCH196B,Offshore Central GBR,14,Spis_13,D3,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,2/4/2022
BLCH197B,BLCH197B,Offshore Central GBR,27,Spis_10,D1.5,OffshoreCentral,11:00:00,5,-18.9493475,147.6929265,OCLB_BA1S,Little Broadhurst,Back 1,Shallow,4,Zoe Meziere,2,4,2022,2/4/2022
